image_filename,artist,collection,exhibition
two_african_men.png,Margo Veillon,Margo Veillon Art Collection (AUC),Margo Veillon Gallery (AUC)
Pistachio_Princess.png,Margo Veillon,Margo Veillon Art Collection (AUC),Margo Veillon Gallery (AUC)
Storiner.png,Margo Veillon,Margo Veillon Art Collection (AUC),Margo Veillon Gallery (AUC)
Bathing.png,Margo Veillon,Margo Veillon Art Collection (AUC),Margo Veillon Gallery (AUC)
A_Girl_and_her_Toy.png,Margo Veillon,Margo Veillon Art Collection (AUC),Margo Veillon Gallery (AUC)
Camel_Cavalry.png,Margo Veillon,Margo Veillon Art Collection (AUC),Margo Veillon Gallery (AUC)
